Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
697-nescafe-2-in-1-30-small-s,NESCAFE 2 IN 1 30 SMALL S,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,29.75,23.75,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/8134c4CUbxL._AC_SL1500_.jpg
698-brooke-bond-red-label-black-loose-tea-400g,Brooke Bond Red Label Black Loose Tea 400g,Brand : Brooke Bond,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,15.00,11.88,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/brook-bond-400g.jpg
700-coast-evaporated-milk-170g-x-48pcs,Coast Evaporated Milk 170g X 48pcs,Cartoon with Best Price,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,77.25,61.75,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/coast-milk.jpg
700-coast-evaporated-milk-170g-x-48pcs,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/coast-milk-ctn.jpg
702-al-hamra-evaporated-milk-170ml-x-48pcs,Al Hamra Evaporated Milk 170ml X 48pcs,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,82.00,65.55,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/al-hamra-milk-170ml-2.jpg
701-golden-zaatar-thyme-herb-25bags,Golden Zaatar Thyme Herb 25bags,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,6.25,4.99,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/zaatar-tea-bag-1.jpg
701-golden-zaatar-thyme-herb-25bags,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/zaatar-tea-bag-2.jpg
703-lipton-yellow-label-tea-100-bags,Lipton Yellow Label Tea 100 Bags,Brand : Lipton,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,16.75,13.30,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/lipton-tea-bag-100g.jpg
704-lipton-yellow-label-black-tea-powder-800g,Lipton Yellow Label Black Tea Powder 800g,Brand : Lipton,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,41.75,33.25,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Lipton-Yellow-Label-Black-Tea-Loose-700g-1577081-01.jpg
705-nescafe-classic-3-in-1-my-cup-stick-20g-x-24pc,Nescafe Classic 3 in 1 My Cup Stick 20g x 24pc,Brand-Nescafe,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,44.00,35.15,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-3-in-1.jpg
707-puck-cream-170g-x-6pcs,Puck Cream 170g X 6pcs,,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,22.75,18.05,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/puck-cream-170g-otr-6-1.jpg
706-nadec-long-life-milk-full-fat-12-x-1ltr,Nadec Long Life Milk Full Fat 12 X 1Ltr,,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,53.50,42.75,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/nadec-full-fat-milk.jpg
706-nadec-long-life-milk-full-fat-12-x-1ltr,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/nadec-milk-1ltr.jpg
706-nadec-long-life-milk-full-fat-12-x-1ltr,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/nadec-milk1ltr-.jpg
708-lipton-yellow-label-tea-bags-248pcs,Lipton Yellow Label Tea Bags 248pcs,Brand : Lipton,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,27.50,21.85,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/LIPTON-248-TEA-BAG-1.jpg
709-al-alali-chicken-stock-720g,Al Alali Chicken Stock 720g,Brand : Al Alali,Fakhr Al Shaeb,Grocery,"Gravy & Stock,Cooking Item",TRUE,21.00,16.63,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/IMG_20200401_105454.jpg
709-al-alali-chicken-stock-720g,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/al-ali-stock-2.jpg
712-american-garden-natural-apple-cider-vinegar-473ml,American Garden Natural Apple Cider Vinegar 473ml,Brand : American Garden,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,6.00,4.75,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/American-Garden-Organic-Vinegar-Apple-Cider-473ml-1353297-01.jpg
710-primo-tomato-paste-in-cans-100-pcs-x-170g--cartoon-,Primo Tomato Paste In Cans 100 Pcs X 170G  ( Cartoon ),,Fakhr Al Shaeb,Grocery,"Gravy & Stock,Cooking Item",TRUE,52.25,41.80,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/PRIMO-TOMATO-APSTE-170G.jpg
710-primo-tomato-paste-in-cans-100-pcs-x-170g--cartoon-,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/PRIMO-TOMATO-pasTE-170G-2.jpg
711-almarai-pure-butter-ghee-16kg,Almarai Pure Butter Ghee 1.6kg,,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,85.50,68.40,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/09/almarai-pure-butter-1.jpg
711-almarai-pure-butter-ghee-16kg,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/09/pure-butter-1.jpg
715-hayat-oil-15-ltr,hayat oil 1.5 ltr,,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,9.50,7.60,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/08/hayat-1.5-ltr.jpg
