Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
447-kelloggs-variety-pack-8-pcs-205gm,Kellogg’s Variety Pack (8 pcs) 205gm,,Fakhr Al Shaeb,Grocery,"Cereals,Kids,Dariy & Breakfast",TRUE,19.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/kelloggs.jpg
449-capilano-natural-honey-400g-x-2pcs,Capilano Natural Honey 400g X 2pcs,Product Of Australia,Fakhr Al Shaeb,Grocery,"Jams,Canned Food,General Item",TRUE,26.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Capilano-Honey-2-X-400g-85476-01.jpg
448-virginia-green-garden-peanut-butter-510g,Virginia Green Garden Peanut Butter 510g,,Fakhr Al Shaeb,Grocery,"Jams,Canned Food,General Item",TRUE,5.75,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/vg-peanut-butter-4.jpg
448-virginia-green-garden-peanut-butter-510g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/vg-peanut-butter-1.jpg
448-virginia-green-garden-peanut-butter-510g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/vg-peanut-butter-2.jpg
450-capilano-natural-honey-400g,Capilano Natural Honey 400g,Product Of Australia,Fakhr Al Shaeb,Grocery,"Jams,Canned Food,General Item",TRUE,13.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/capilano-honey-2.jpg
450-capilano-natural-honey-400g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/capilano-honey-1.jpg
455-captain-oats-500gm-x-2-pcs,Captain Oats 500gm X 2 Pcs,,Fakhr Al Shaeb,Grocery,"Oats,Dariy & Breakfast",TRUE,11.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/captain-oats-golden-grain-oats-2-500-g_front.jpg
456-reihan-white-oats-400g-x-3pcs-outerpack,Reihan White Oats 400g X 3pcs (Outerpack),,Fakhr Al Shaeb,Grocery,"Oats,Dariy & Breakfast",TRUE,12.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/hilwa-oats-1.jpg
454-rooh-al-ameera-halawa-400g-x-12pcs,Rooh Al Ameera Halawa 400g X 12pcs,Available In Cartoons,Fakhr Al Shaeb,Grocery,"Jams,Canned Food,General Item",TRUE,88.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/RA-TAHINA-400.jpg
454-rooh-al-ameera-halawa-400g-x-12pcs,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/IMG_20200314_162514.jpg
462-loacker-minis-vanilla-15x10g-035-oz,Loacker Minis Vanilla 15x10g (0.35 OZ),,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,11.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Loacker-Minis-Vanilla.png
461-loacker-quadratini-napolitaner-125g-441-oz,Loacker Quadratini Napolitaner 125g (4..41 OZ),,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Loacker-Quadratini-Red.png
460-mcvities-digestive-biscuits-500-gm,McVities Digestive Biscuits 500 gm,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,7.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/04/41SgO517VJL._AC_SY580_.jpg
460-mcvities-digestive-biscuits-500-gm,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/04/digestive.jpg
469-ulker-rulokat-x24-pack,ULKER RULOKAT X24 PACK,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,22.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/ulker_rulokat_wafers_24gm.jpg
470-loacker-quadratini-dark-chocolate-125-g-441-oz,Loacker Quadratini Dark Chocolate 125 g (4.41 OZ),,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Quadratini-Dark-Chocolate.png
471-faro-crispy-wafers-with-hazelnut-12x40-gram,FARO CRISPY WAFERS WITH HAZELNUT 12X40 GRAM,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/6291003085918.jpg
474-ritz-crackers-original-salty-crackers,RITZ CRACKERS ORIGINAL SALTY CRACKERS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,5.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/Ritzoriginalcracker300SMGT2081220230927132600.jpg
472-deemah-biscuit-filled-with-date-fruit-3-packets,DEEMAH BISCUIT FILLED WITH DATE FRUIT 3 PACKETS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,11.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/5884.png
473-nabil-glucose-the-energy-bite,NABIL GLUCOSE THE ENERGY BITE,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/510nQx96pjL._AC_UF10001000_QL80_.jpg
475-tiffany-nutty-bites-cashew,TIFFANY NUTTY BITES CASHEW,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/71v19daVjpL.__AC_SX300_SY300_QL70_ML2_.jpg
476-tiffany-nutty-bites-chocolate-and-hazelnut,TIFFANY NUTTY BITES CHOCOLATE AND HAZELNUT,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/81BB18ovFoL.__AC_SX300_SY300_QL70_ML2_.jpg
485-matilde-vicenzovo-biscuit-2-packets,MATILDE VICENZOVO BISCUIT 2 PACKETS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,14.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/DD45.png
488-oryx-sweet-and-salt-cracker-20-packets,ORYX SWEET AND SALT CRACKER 20 PACKETS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/images.jpg
487-barni-cake-with-milk-12-pack,BARNI CAKE WITH MILK 12 PACK,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,19.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/8146trU7JQL._AC_UF8941000_QL80_.jpg
486-tiffany-glucose-milk-and-honey-biscuit,TIFFANY GLUCOSE MILK AND HONEY BISCUIT,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,4.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/6291003000768-1200Wx1200H-001.jpg
490-lotte-choco-pie-with-rich-marshmallow-12-packets,LOTTE CHOCO PIE WITH RICH MARSHMALLOW 12 PACKETS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/81v5qMhZbsL._AC_UF8941000_QL80_.jpg
491-orion-choco-pie-12-pack,ORION CHOCO-PIE 12 PACK,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/71XUDtbVaHS.jpg
489-ulker-chocosandwich-24-packets,ULKER CHOCOSANDWICH 24 PACKETS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,10.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/61SnsQRqaBL.jpg
492-coffee-joy-18-packet,COFFEE JOY 18 PACKET,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,22.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/77878.png
493-tiffany-everyday-nice-coconut-biscuits-10-packets,TIFFANY EVERYDAY NICE COCONUT BISCUITS 10 PACKETS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,4.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/6291003021077.jpg
